word,meaning
waterproof,"n. 防水材料
vt. 使防水
adj. 防水的，不透水的"
propel,vt. 推进；驱使；激励；驱策
discriminate,"vi. 区别；辨别
vt. 歧视；区别；辨别"
empower,vt. 授权，允许；使能够
gleam,"n. 微光；闪光；瞬息的一现
vt. 使闪烁；使发微光
vi. 闪烁；隐约地闪现"
interlink,"n. 连环
vt. 连接；把……互相连结"
tender,"n. 偿付，清偿；看管人；小船
adj. 温柔的；柔软的；脆弱的；幼稚的；难对付的
vt. 提供，偿还；使…变嫩；使…变柔软
vi. 投标；变柔软"
shortcoming,n. 缺点；短处
remedy,"n. 补救；治疗；赔偿
vt. 补救；治疗；纠正"
recalcitrant,"n. 顽抗者；不服从的人
adj. 反抗的；反对的；顽强的"
dramatically,"adv. 戏剧地；引人注目地
adv. 显著地，剧烈地"
firsthand,"adj. 直接的；直接采购的；直接得来的
adv. 直接地"
blaze,"n. 火焰，烈火；光辉；情感爆发
vt. 在树皮上刻路标；公开宣布
vi. 燃烧；照耀，发光；激发"
weak-willed,adj. 意志薄弱的
statistically,adv. 统计地；统计学上
egalitarian,"n. 平等主义；平等主义者
adj. 平等主义的"
toxin,n. 毒素；毒质
tangle,"n. 纠纷；混乱状态
vt. 使纠缠；处于混乱状态
vi. 缠结；乱作一团"
monotonous,adj. 单调的，无抑扬顿挫的；无变化的
imperil,vt. 危及；使陷于危险
reunion,n. 重聚；（班级或学校的）同学会，同窗会
striking,"v. 打（strike的ing形式）
adj. 显著的，突出的，惊人的；打击的；罢工的"
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
swallow,"n. 燕子；一次吞咽的量
vt. 忍受；吞没
vi. 吞下；咽下"
fascinate,"vt. 使着迷，使神魂颠倒
vi. 入迷"
contractor,n. 承包人；立契约者
deteriorate,"vi. 恶化，变坏
vt. 恶化"
insatiable,adj. 贪得无厌的；不知足的
metaphor,n. 暗喻，隐喻；比喻说法
inculcate,vt. 教育；谆谆教诲；教授；反覆灌输
secondary,"n. 副手；代理人
adj. 第二的；中等的；次要的；中级的"
cohesion,n. 凝聚；结合； 内聚力
participation,n. 参与；分享；参股
conceivable,adj. 可能的；想得到的，可想像的
catalogue,"n. 目录；（美）大学情况一览
vt. 把…编入目录"
refrain,"n. 叠句，副歌；重复
vi. 节制，克制；避免；制止"
immortalise,v. 使不灭，使不朽
bulge,"n. 胀；膨胀；凸出部分
vt. 使膨胀；使凸起
vi. 膨胀；凸出"
loyalty,n. 忠诚；忠心；忠实；忠于…感情
catastrophe,n. 大灾难；大祸；惨败
distribution,n. 分布；分配
subtle,adj. 微妙的；精细的；敏感的；狡猾的；稀薄的
statue,"n. 雕像，塑像
vt. 以雕像装饰"
peer,"vt. 封为贵族；与…同等
vi. 凝视，盯着看；窥视
n. 贵族；同等的人；同龄人"
preferably,adv. 较好；宁可，宁愿；更适宜
drowsiness,n. 睡意；困倦；假寐
cameral,adj. 有关立法或司法机构之一院的
intervene,vi. 干涉；调停；插入
appraisal,n. 评价；估价（尤指估价财产，以便征税）；估计
reiterate,vt. 重申；反复地做
volatile,"n. 挥发物；有翅的动物
adj.  挥发性的；不稳定的；爆炸性的；反复无常的"
reluctance,n.  磁阻；勉强；不情愿
disrespectful,adj. 无礼的；失礼的；不尊敬的
prestige,n. 威望，声望；声誉
status,n. 地位；状态；情形；重要身份
consent,"n. 同意；（意见等的）一致；赞成
vi. 同意；赞成；答应"
hypothetical,adj. 假设的；爱猜想的
insomnia,n. 失眠症，失眠
betray,vt. 背叛；出卖；泄露（秘密）；露出…迹象
calibre,n.  口径；才干；水准
emerging,"v. 形成；浮现；显露（emerge的ing形式）；由…中脱出
adj. 新兴的；出现的；形成的"
encyclopaedia,n. 百科全书
mammal,n.  哺乳动物
roaring,"n. 咆哮；怒吼；吼声
adj. 喧闹的；兴胜的；狂风暴雨的
v. 怒吼（uproar的现在分词）"
predominant,adj. 主要的；卓越的；支配的；有力的；有影响的
mentor,"n. 指导者，良师益友
vt. 指导"
simulate,"adj. 模仿的；假装的
vt. 模仿；假装；冒充"
focal,adj. 焦点的，在焦点上的；灶的，病灶的
curative,"n. 药品；治疗法
adj. 有疗效的；治病的"
water-borne,adj. 水传播的；由水浮起的；水运的；饮水传染的（等于waterborne）
identity,n. 身份；同一性，一致；特性；恒等式
suspend,"vt. 延缓，推迟；使暂停；使悬浮
vi. 悬浮；禁赛"
category,n. 种类，分类； 范畴
frighten,"vt. 使惊吓；吓唬…
vi. 害怕，惊恐"
appetite,n. 食欲；嗜好
solicit,"vt. 征求；招揽；请求；乞求
vi. 征求；招揽；恳求；请求"
captivity,n. 囚禁；被关
transition,n. 过渡；转变； 转换；变调
designate,"vt. 指定；指派；标出；把…定名为
adj. 指定的；选定的"
shrewd,"n. 精明（的人）；机灵（的人）
adj. 精明的；狡猾的；机灵的"
profitable,adj. 有利可图的；赚钱的；有益的
nonetheless,adv. 尽管如此，但是
segment,"n. 段；部分
vt. 分割
vi. 分割"
bidding,n. 投标；出价；命令
laundry,n. 洗衣店，洗衣房；要洗的衣服；洗熨；洗好的衣服
roam,"n. 漫步，漫游；流浪
vt. 在…漫步，漫游；在…流浪
vi. 漫游，漫步；流浪"
sophisticate,"n. 久经世故的人；精通者
vt. 弄复杂；使变得世故；曲解
vi. 诡辩"
offence,n. 犯罪；违反；过错；攻击
abhorrent,adj. 可恶的；厌恶的；格格不入的
truant,"n. 旷课者；懒惰的人
adj. 旷课的；偷懒的
vi. 逃学；偷懒，逃避责任"
migration,n. 迁移；移民；移动
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
degrade,"vt. 贬低；使……丢脸；使……降级；使……降解
vi. 降级，降低；退化"
fanatical,adj. 狂热的
fascinating,"adj. 迷人的；吸引人的；使人神魂颠倒的
v. 使…着迷；使…陶醉（fascinate的ing形式）"
revere,vt. 敬畏；尊敬；崇敬
sediment,n. 沉积；沉淀物
sparsely,adv. 稀疏地；贫乏地
herbivore,n.  食草动物
pathology,n. 病理（学）; 异常状态
mechanical,adj. 机械的；力学的；呆板的；无意识的；手工操作的
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
irrationally,adv. 无理性地，不合理地
eliminate,vt. 消除；排除
billion,"num. 十亿
n. 十亿；大量
adj. 十亿的"
rationale,n. 基本原理；原理的阐述
exemplify,vt. 例证；例示
cleave,"vt. 砍开；使分开；打通
vi. 裂开；披荆斩棘地前进；粘住；坚持"
navigation,n. 航行；航海
ambiguous,adj. 模糊不清的；引起歧义的
emerge,vi. 浮现；摆脱；暴露
admittedly,adv. 公认地；无可否认地；明白地
cater,vt. 投合，迎合；满足需要；提供饮食及服务
chronic,adj. 慢性的；长期的；习惯性的
lawsuit,n. 诉讼（尤指非刑事案件）；诉讼案件
residue,n. 残渣；剩余；滤渣
grind,"n. 磨；苦工作
vt. 磨碎；磨快
vi. 磨碎；折磨"
nuisance,n. 讨厌的人；损害；麻烦事；讨厌的东西
antibiotic,"n. 抗生素，抗菌素
adj. 抗生的；抗菌的"
alumni,n. （统称）校友，毕业生
illegal,"n. 非法移民，非法劳工
adj.  非法的；违法的；违反规则的"
demanding,"v. 要求；查问（demand的ing形式）
adj. 苛求的；要求高的；吃力的"
persistence,n. 持续；固执；存留；坚持不懈；毅力
inability,n. 无能力；无才能
perception,n. 知觉； 感觉；看法；洞察力；获取
irritation,n. 刺激；激怒，恼怒，生气；兴奋；令人恼火的事
entrepreneurial,adj. 企业家的，创业者的；中间商的
synthesise,"vt.vi. 综合, 合成, 接合
vt. 用合成法合成, 综合地处理"
aesthetic,adj. 美的；美学的；审美的，具有审美趣味的
slander,"n. 诽谤；中伤
vt. 诽谤；造谣中伤"
accurately,adv. 精确地，准确地
customary,"n. 习惯法汇编
adj. 习惯的；通常的"
eligible,"n. 合格者；适任者；有资格者
adj. 合格的，合适的；符合条件的；有资格当选的"
disperse,"vt. 分散；使散开；传播
adj. 分散的
vi. 分散"
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
innumerable,adj. 无数的，数不清的
transparent,adj. 透明的；显然的；坦率的；易懂的
yield,"n. 产量；收益
vt. 屈服；出产，产生；放弃
vi. 屈服，投降"
reinforce,"n. 加强；加固物；加固材料
vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持"
tangible,"n. 有形资产
adj. 有形的；切实的；可触摸的"
accountant,n. 会计师；会计人员
blossom,"n. 花；开花期；兴旺期；花开的状态
vi. 开花；兴旺；发展成"
amass,vt. 积聚，积累
fatality,n. 死亡；宿命；致命性；不幸；灾祸
exhaustive,adj. 详尽的；彻底的；消耗的
tolerance,n. 公差；宽容；容忍；公差
apace,adv. 飞快地，迅速地；急速地
boundless,adj. 无限的；无边无际的
incompatible,"n. 互不相容的人或事物
adj. 不相容的；矛盾的；不能同时成立的"
hawk,"n. 鹰；鹰派成员；掠夺他人的人
vi. 清嗓；咳嗽；像鹰一般地袭击
vt. 兜售，沿街叫卖；捕捉；咳出"
dispirited,"adj. 沮丧的；没有精神的；意气消沉的
v. 使…沮丧；使…气馁（dispirit的过去分词）"
immobile,adj. 固定的；稳定的；不变的
impatient,adj. 焦躁的；不耐心的
layout,n. 布局；设计；安排；陈列
uncertainty,n. 不确定，不可靠
superficial,adj. 表面的；肤浅的 ；表面文章的；外表的；（人）浅薄的
thrive,vi. 繁荣，兴旺；茁壮成长
exploitation,n. 开发，开采；利用；广告推销；剥削
orientate,"vi. 向东；定向
vt. 给...定位；使适应"
impetus,n. 动力；促进；冲力
correlation,n.  相关，关联；相互关系
straightforward,"adj. 简单的；坦率的；明确的；径直的
adv. 直截了当地；坦率地"
hesitation,n. 犹豫
accordance,n. 一致；和谐
maturity,n. 成熟；到期；完备
forgo,"vi. 放弃；停止；对…断念
vt. 放弃；停止；对…断念
"
lush,"adj. 丰富的，豪华的；苍翠繁茂的
vi. 喝酒
n. 酒；酒鬼
vt. 饮"
bulk,"n. 体积，容量；大多数，大部分；大块
vt. 使扩大，使形成大量；使显得重要"
despondency,n. 泄气；意气消沉
supersede,"vt. 取代，代替；紧接着……而到来
vi. 推迟行动"
participant,"n. 参与者；关系者
adj. 参与的；有关系的"
sympathetic,"n. 交感神经；容易感受的人
adj. 同情的；交感神经的；共鸣的；赞同的；和谐的；合意的"
predictable,adj. 可预言的
refine,vt. 精炼，提纯；改善；使…文雅
administrator,n. 管理人；行政官
crumble,"n. 面包屑
vi. 崩溃；破碎，粉碎
vt. 崩溃；弄碎，粉碎"
apportion,vt. 分配，分派；分摊
restoration,n. 恢复；复位；王政复辟；归还
bypass,"n. 旁路； 支路
vt. 绕开；忽视；设旁路；迂回"
recourse,n. 求援，求助； 追索权；依赖；救生索
enforce,vt. 实施，执行；强迫，强制
organic,adj.  有机的；组织的；器官的；根本的
emphasis,n. 重点；强调；加强语气
intriguing,"adj. 有趣的；迷人的
v. 引起…的兴趣；策划阴谋；私通（intrigue的ing形式）"
query,"n. 疑问，质问；疑问号 ； 查询
vi. 询问；表示怀疑
vt. 询问；对……表示疑问"
revert,"n. 恢复原状者
vt. 使回复原状
vi. 回复；重提；返祖遗传；归还"
mantle,"n. 地幔；斗篷；覆盖物
vi. 覆盖；脸红
vt. 覆盖"
paediatric,adj.  儿科的；儿科学的
alignment,n. 队列，成直线；校准；结盟
astray,"adj. 迷路的；离开正道的；不对头的
adv. 误入歧途地；迷途地；迷路"
insecure,adj. 不安全的；不稳定的；不牢靠的
ferry,"n. 渡船；摆渡；渡口
vt. （乘渡船）渡过；用渡船运送；空运
vi. 摆渡；来往行驶"
fatigue,"n. 疲劳，疲乏；杂役
adj. 疲劳的
vt. 使疲劳；使心智衰弱
vi. 疲劳"
extinct,"adj. 灭绝的，绝种的；熄灭的
vt. 使熄灭"
hinder,"vt. 阻碍；打扰
adj. 后面的
vi. 成为阻碍"
ramification,n. 衍生物；分枝，分叉；支流
decouple,"n.  去耦
vt. 减弱震波；使分离"
delusion,n. 迷惑，欺骗；错觉；幻想
preliminary,"n. 准备；预赛；初步措施
adj. 初步的；开始的；预备的"
truce,"n. 停战；休战；休战协定
vt. 以休战结束；停止争执
vi. 停战"
globalisation,n. 全球化，=globalization
utterly,adv. 完全地；绝对地；全然地；彻底地，十足地
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
build-up,"n. 组成；逐渐增加或积累；堆起
adj. 内建的"
council,n. 委员会；会议；理事会；地方议会；顾问班子
succulent,"n. 肉质植物；多汁植物
adj. 多汁的；多水分的；多汁性的"
abate,"vt. 减轻；减少；废除
vi. 减轻；失效"
prune,"n. 深紫红色；傻瓜；李子干
vt. 修剪；删除；剪去
vi. 删除；减少"
exposure,n. 暴露；曝光；揭露；陈列
grimy,adj. 肮脏的，污秽的
canteen,n. 食堂，小卖部；水壶
minimal,adj. 最低的；最小限度的
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
proficiency,n. 精通，熟练
circumstance,n. 环境，情况；事件；境遇
amorphous,adj. 无定形的；无组织的； 非晶形的
transit,"n. 运输；经过
vt. 运送
vi. 经过"
disparity,n. 不同；不一致；不等
pretentious,adj. 自命不凡的；炫耀的；做作的
swap,"n. 交换；交换之物
vt. 与...交换；以...作交换
vi. 交换；交易"
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好"
combination,n. 结合；组合；联合； 化合
monolingual,"adj. 单语的；仅用一种语言的；仅懂一种语言的
n. 只用一种语言的人"
privilege,"n. 特权；优待
vt. 给与…特权；特免"
acquisition,n. 获得物，获得；收购
traverse,"n. 穿过；横贯；横木
vt. 穿过；反对；详细研究；在…来回移动
vi. 横越；旋转；来回移动
adj. 横贯的"
identifiable,adj. 可辨认的；可认明的；可证明是同一的
intoxicated,"v. 沉醉；中毒（intoxicate的过去分词）
adj. 喝醉的；极度兴奋的"
proximity,n. 接近，邻近；接近；接近度，距离；亲近
lax,"n. 松元音；泻肚
adj. 松的；松懈的；腹泻的
adj. 不严格的；不严谨的"
adapt,"vi. 适应
vt. 使适应；改编"
publicity,n. 宣传，宣扬；公开；广告；注意
complicated,adj. 难懂的，复杂的
abrupt,adj. 生硬的；突然的；唐突的；陡峭的
regardless,"adj. 不管的；不顾的；不注意的
adv. 不顾后果地；不管怎样，无论如何；不惜费用地"
resurgence,n. 复活；再现；再起
sanitary,"n. 公共厕所
adj. 卫生的，清洁的"
ravage,"n. 蹂躏，破坏
vt. 毁坏；破坏；掠夺
vi. 毁坏；掠夺"
detrimental,"n. 有害的人（或物）；不受欢迎的求婚者
adj. 不利的；有害的"
envisage,vt. 正视，面对；想像
recover,"n. 还原至预备姿势
vt. 恢复；弥补；重新获得
vi. 恢复；胜诉；重新得球"
sustainable,adj. 可以忍受的；足可支撑的；养得起的；可持续的
chorus,"n. 合唱队；齐声；歌舞队
vt. 合唱；异口同声地说
vi. 合唱；异口同声地说话"
conclusive,adj. 决定性的；最后的；确实的；确定性的
ape,"n.  猿；傻瓜；模仿者
vt. 模仿；抢台词
adj. 狂热的"
veer,"n. 转向；方向的转变
vt. 使转向；使顺风；使船尾向上风
vi. 转向；改变观点；风向顺时针转；调转船尾向上风"
magnet,n. 磁铁； 磁体；磁石
convoy,"n. 护送；护卫；护航队
vt. 护航；护送"
afield,adv. 在战场上；去野外；在远处；远离著
megacity,n. 大城市（人口超过1000万的）
remarkable,adj. 卓越的；非凡的；值得注意的
stunning,"adj. 极好的；使人晕倒的；震耳欲聋的
v. 把…打昏；使震耳欲聋；使大吃一惊（stun的ing形式）"
cautious,adj. 谨慎的；十分小心的
criterion,n. （批评判断的）标准；准则；规范；准据
personnel,"n. 人事部门；全体人员
adj. 人员的；有关人事的"
artery,n. 动脉；干道；主流
afflict,vt. 折磨；使痛苦；使苦恼
bleak,adj. 阴冷的；荒凉的，无遮蔽的；黯淡的，无希望的；冷酷的；单调的
racket,"n. 球拍；吵闹，喧闹
vt. 过着花天酒地的生活
vi. 过着花天酒地的生活"
recoil,"vi. 畏缩；弹回；报应
n. 畏缩；弹回；反作用"
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓"
sensory,adj. 感觉的；知觉的；传递感觉的
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
module,n.  模块；组件；模数
strategy,n. 战略，策略
aviation,n. 航空；飞行术；飞机制造业
formulate,vt. 规划；用公式表示；明确地表达
oblique,"adj. 斜的；不光明正大的
n. 倾斜物
vi. 倾斜"
militant,"adj. 好战的
n. 富有战斗性的人；好斗者；激进分子"
wryly,adv. 挖苦地；表情冷漠地
notable,"adj. 值得注意的，显著的；著名的
n. 名人，显要人物"
occupancy,n. 居住；占有；占用
leap,"vi. 跳，跳跃
n. 飞跃；跳跃
vt. 跳跃，跳过；使跃过"
congested,"adj. 堵塞的，拥挤的
v. 挤满；超负荷（congest的过去分词）"
anchor,"n. 锚；抛锚停泊；靠山；新闻节目主播
adj. 末棒的；最后一棒的
vt. 抛锚；使固定；主持节目
vi. 抛锚"
vigilant,adj. 警惕的；警醒的；注意的；警戒的
watertight,adj. 水密的；不漏水的；无懈可击的
deter,vt. 制止，阻止；使打消念头
laconic,adj. 简洁的，简明的
fuse,"n. 保险丝，熔线；导火线，雷管
vt. 使融合；使熔化，使熔融
vi. 融合；熔化，熔融"
proportion,"n. 比例，占比；部分；面积；均衡
vt. 使成比例；使均衡；分摊"
misfortune,n. 不幸；灾祸，灾难
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
install,vt. 安装；任命；安顿
regularity,n. 规则性；整齐；正规；匀称
inflammable,"n. 易燃物
adj. 易燃的；易怒的；易激动的"
haunt,"n. 栖息地；常去的地方
vt. 常出没于…；萦绕于…；经常去…
vi. 出没；作祟"
deterioration,n. 恶化；退化；堕落
underlying,"adj. 潜在的；根本的；在下面的；优先的
v. 放在…的下面；为…的基础；优先于（underlie的ing形式）"
unobtrusive,adj. 不唐突的；谦虚的；不引人注目的
maximise,vt. 把…增加到最大限度；尽量增大（等于maximize）
diagram,"n. 图表；图解
vt. 用图解法表示"
toxic,adj. 有毒的；中毒的
dip,"n. 下沉，下降；倾斜；浸渍，蘸湿
vi. 浸；下降，下沉；倾斜；舀，掏
vt. 浸，泡，蘸；舀取；把伸入"
eventually,adv. 最后，终于
detour,"n. 绕道；便道
vt. 使…绕道而行
vi. 绕道；迂回"
squander,"n. 浪费
vt. 浪费
vi. 浪费；漂泊"
diameter,n. 直径
effluent,"n. 污水；流出物；废气
adj. 流出的，发出的"
dubious,adj. 可疑的；暧昧的；无把握的；半信半疑的
prevention,n. 预防；阻止；妨碍
complementary,adj. 补足的，补充的
sociable,"n. 联谊会
adj. 社交的；好交际的；友善的"
sequence,"n.  序列；顺序；续发事件
vt. 按顺序排好"
perplex,vt. 使困惑，使为难；使复杂化
spew,"vt. 喷出；呕吐
vi. 喷涌；呕吐"
demolition,n. 拆除（等于demolishment）；破坏；毁坏
creep,"n. 爬行；毛骨悚然的感觉；谄媚者
vi. 爬行；蔓延；慢慢地移动；起鸡皮疙瘩"
fidelity,n. 保真度；忠诚；精确；尽责
sporadically,adv. 零星地；偶发地
carpentry,n. 木器；木工手艺； 木工业
noteworthy,adj. 值得注意的；显著的
approximately,adv. 大约，近似地；近于
spontaneous,adj. 自发的；自然的；无意识的
overtake,"vt. 赶上；压倒；突然来袭
vi. 超车"
integrity,n. 完整；正直；诚实；廉正
chancellor,n. 总理（德、奥等的）；（英）大臣；校长（美国某些大学的）；（英）大法官；（美）首席法官
ponderous,"adj. 笨重的；沉闷的；呆板的
比较级more ponderous 最高级most ponderous"
discursive,adj. 散漫的；离题的；东拉西扯的；无层次的
guzzle,"n. 狂饮；豪饮作乐
vt. 狂饮；暴食
vi. 狂饮；暴食；狼吞虎咽"
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
captive,"n. 俘虏；迷恋者
adj. 被俘虏的；被迷住的"
respectively,adv. 分别地；各自地，独自地
saving,"n. 节约；挽救；存款
prep. 考虑到；除...之外
adj. 节约的；挽救的；补偿的；保留的"
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
persevere,vi. 坚持；不屈不挠；固执己见（在辩论中）
maltreat,vt. 虐待；滥用；粗暴对待
coarse,adj. 粗糙的；粗俗的；下等的
fickle,adj. 浮躁的；易变的；变幻无常的
cruel,adj. 残酷的，残忍的；使人痛苦的，让人受难的；无情的，严酷的
soar,"n. 高飞；高涨
vi. 高飞；高耸；往上飞舞"
intact,adj. 完整的；原封不动的；未受损伤的
sneeze,"n. 喷嚏
vi. 打喷嚏"
revitalise,vt. 使有新的活力；使新生（等于revitalize）
submerge,"vt. 淹没；把…浸入；沉浸
vi. 淹没；潜入水中；湮没"
legitimise,vt. 使合法，给…以合法地位
deadly,"adj. 致命的；非常的；死一般的
adv. 非常；如死一般地"
reclaim,"n. 改造，感化；再生胶
vt. 开拓；回收再利用；改造某人，使某人悔改
vi. 抗议，喊叫"
opaque,"adj. 不透明的；不传热的；迟钝的
n. 不透明物
vt. 使不透明；使不反光"
enable,vt. 使能够，使成为可能；授予权利或方法
timid,adj. 胆小的；羞怯的
session,n. 会议；（法庭的）开庭；（议会等的）开会；学期；讲习会
trap,"n. 陷阱；圈套； 存水湾
vt. 诱捕；使…受限制；使…陷入困境
vi. 设陷阱"
shorthand,"n. 速记；速记法
adj. 速记法的"
elite,n. 精英；精华；中坚分子
inscribe,vt. 题写；题献；铭记；雕
refectory,n. 食堂；（修道院，学院等处的）餐厅
obesity,n. 肥大，肥胖
concussion,n. 冲击；震荡；脑震荡
adaptable,adj. 适合的；能适应的；可修改的
thoroughly,adv. 彻底地，完全地
array,"n. 数组，阵列；排列，列阵；大批，一系列；衣服
vt. 排列，部署；打扮"
illuminate,"vt. 阐明，说明；照亮；使灿烂；用灯装饰
vi. 照亮"
perspective,"n. 观点；远景；透视图
adj. 透视的"
longitude,n.  经度；经线
bilateral,adj. 双边的；有两边的
convict,"n. 罪犯
vt. 证明…有罪；宣告…有罪"
discrete,"n. 分立元件；独立部件
adj. 离散的，不连续的"
premium,"n. 额外费用；奖金；保险费;(商)溢价
adj. 高价的；优质的"
extent,n. 程度；范围；长度
dissent,"n. 异议；（大写）不信奉国教
vi. 不同意；不信奉国教"
fancy,"n. 幻想；想象力；爱好
adj. 想象的；奇特的；昂贵的；精选的
vt. 想象；喜爱；设想；自负
vi. 幻想；想象"
industrious,adj. 勤勉的
irrelevant,adj. 不相干的；不切题的
hilarity,n. 欢喜；高兴；欢闹
pitch,"n. 沥青；音高；程度；树脂；倾斜；投掷；球场
vt. 投；掷；定位于；用沥青涂；扎营；向前倾跌
vi. 倾斜；投掷；搭帐篷；坠落"
statute,n.  法规；法令；条例
clamour,"n. 喧闹
vt. 吵闹；大声地要求
vi. 叫喊；大声地要求"
momentum,n. 势头； 动量；动力；冲力
declaration,n. （纳税品等的）申报；宣布；公告；申诉书
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
manufacturer,n. 制造商； 厂商
renovate,vt. 更新；修复；革新；刷新
platform,n. 平台；月台，站台；坛；讲台
disabuse,vt. 使省悟；解迷惑；释疑；矫正
rarity,n. 罕见；珍贵；珍品（需用复数）；稀薄
culprit,n. 犯人，罪犯；被控犯罪的人
morbid,adj. 病态的；由病引起的；恐怖的；病变部位的
repatriate,"n. 被遣返回国者
v. 遣返"
recycle,"n. 再生；再循环；重复利用
vt. 使再循环；使…重新利用
vi. 重复利用"
bury,vt. 埋葬；隐藏
digest,"n. 文摘；摘要
vt. 消化；吸收；融会贯通
vi. 消化"
genre,"n. 类型；种类；体裁；样式；流派；风俗画
adj. 风俗画的；以日常情景为主题的"
reflection,n. 反射；沉思；映象
courtesy,"n. 礼貌；好意；恩惠
adj. 殷勤的；被承认的；出于礼节的"
pervasive,adj. 普遍的；到处渗透的；流行的
recount,"n. 重算
vt. 叙述；重新计算"
prospective,"n. 预期；展望
adj. 未来的；预期的"
hereditary,"n. 遗传类
adj. 遗传的；世袭的；世代相传的"
conception,n. 怀孕；概念；设想；开始
promptly,adv. 迅速地；立即地；敏捷地
ounce,n. 盎司；少量；雪豹
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
sprout,"n. 芽；萌芽；苗芽
vt. 使发芽；使萌芽
vi. 发芽；长芽"
erudite,"n. 饱学之士
adj. 博学的；有学问的"
collision,n. 碰撞；冲突；（意见，看法）的抵触；（政党等的）倾轧
anarchy,n. 无政府状态；混乱；无秩序
hatch,"n. 孵化；舱口
vt. 孵；策划
vi. 孵化"
particulate,"n. 微粒
a. 微粒的"
automatically,"adj. 不经思索的
adv. 自动地；机械地；无意识地"
stationery,n. 文具；信纸
excel,"vt. 超过；擅长
vi. (在某方面)胜过(或超过)别人"
digestive,"n. 助消化药
adj. 消化的；助消化的"
bully,"n. 欺凌弱小者；土霸
vt. 欺负；威吓
adj. 第一流的；特好的
vi. 欺侮人
adv. 很；十分
int. 好；妙"
tingling,"n. 麻刺感；发出叮当声
v. 刺痛；激动；鸣响（tingle的ing形式）"
referee,"n. 裁判员；调解人；介绍人
vt. 为…当裁判；调停
vi. 仲裁；担任裁判"
disorientated,"adj. 不知所措的；迷失方向的
v. 使失去方向（disorientate的过去式和过去分词）"
benign,adj. 良性的；和蔼的，亲切的；吉利的
profuse,adj. 丰富的；很多的；慷慨的；浪费的
apparent,adj. 显然的；表面上的
regulate,vt. 调节，规定；控制；校准；有系统的管理
stumble,"n. 绊倒；蹒跚而行
vi. 踌躇，蹒跚；失足；犯错
vt. 使…困惑；使…绊倒"
inflation,n. 膨胀；通货膨胀；夸张；自命不凡
horizontal,"n. 水平线，水平面；水平位置
adj. 水平的；地平线的；同一阶层的"
artifact,n. 人工制品；手工艺品
surmise,"n. 推测；猜度
vt. 猜测；推测
vi. 猜测；认为"
novice,n. 初学者，新手
pledge,"n. 保证，誓言；抵押；抵押品，典当物
vt. 保证，许诺；用……抵押；举杯祝……健康"
foetus,n. 胎儿
overcome,"vt. 克服；胜过
vi. 克服；得胜"
legacy,n. 遗赠，遗产
equate,"vt. 使相等；视为平等
vi. 等同"
edible,"n. 食品；食物
adj. 可食用的"
tidal,adj. 潮汐的；潮的，有关潮水的；定时涨落的
artifice,n. 诡计；欺骗；巧妙的办法
insulate,vt. 隔离，使孤立；使绝缘，使隔热
virtually,adv. 事实上，几乎；实质上
immemorial,adj. 远古的，古老的；无法追忆的
memorandum,n. 备忘录；便笺
recommendation,n. 推荐；建议；推荐信
computerise,vt. 用计算机做，使计算机化; 将（资料）存入计算机
numerical,adj. 数值的；数字的；用数字表示的（等于numeric）
overestimate,"vt. 对……评价过高；对……估计过高
n. 估计过高；评价过高；出价过高
vi. 估计过高；评价过高"
inhabitant,n. 居民；居住者
discourse,"n. 论述；谈话；演讲
vt. 说出；演奏出
vi. 演说；谈论；讲述"
trivial,adj. 不重要的，琐碎的；琐细的
baffle,"n. 挡板；困惑
vt. 使…困惑；使…受挫折；用挡板控制
vi. 做徒劳挣扎"
abbreviate,"vt. 缩写，使省略；使简短
vi. 使用缩写词"
culminate,"vt. 使结束；使达到高潮
vi. 到绝顶；达到高潮；达到顶点"
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
collide,"vi. 碰撞；抵触，冲突
vt. 使碰撞；使相撞"
